Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD3073,Mumbai,XYZ University,1st,AI,Whatsapp
LD3074,Delhi,PQR College,1st,Data Science,Mass-Mailing
LD3075,Surat,DEF Academy,4th,AI,Mass-Mailing
LD3076,Pune,DEF Academy,2nd,Robotics,LinkedIn
LD3077,Pune,PQR College,2nd,Data Science,College Collaboration
LD3078,Mumbai,DEF Academy,3rd,Robotics,LinkedIn
LD3079,Mumbai,ABC Institute,1st,Robotics,Whatsapp
LD3080,Pune,XYZ University,1st,AI,Whatsapp
LD3081,Surat,PQR College,4th,AI,Instagram
LD3082,Mumbai,XYZ University,2nd,Robotics,Whatsapp
LD3083,Mumbai,PQR College,3rd,Electric Vehicle,Mass-Mailing
LD3084,Delhi,PQR College,4th,Electric Vehicle,LinkedIn
LD3085,Ahmedabad,XYZ University,3rd,Data Science,College Collaboration
LD3086,Ahmedabad,DEF Academy,4th,Electric Vehicle,LinkedIn
LD3087,Mumbai,XYZ University,2nd,Robotics,Instagram
LD3088,Mumbai,ABC Institute,1st,Electric Vehicle,Google Form
LD3089,Delhi,XYZ University,1st,Data Science,Mass-Mailing
LD3090,Surat,ABC Institute,2nd,AI,LinkedIn
LD3091,Surat,XYZ University,3rd,Data Science,College Collaboration
LD3092,Mumbai,XYZ University,2nd,Data Science,Instagram
LD3093,Surat,DEF Academy,3rd,Electric Vehicle,LinkedIn
LD3094,Mumbai,DEF Academy,2nd,Robotics,Mass-Mailing
LD3095,Delhi,XYZ University,2nd,Electric Vehicle,Mass-Mailing
LD3096,Ahmedabad,PQR College,3rd,Electric Vehicle,College Collaboration
LD3097,Delhi,PQR College,3rd,AI,Instagram
LD3098,Surat,XYZ University,2nd,Electric Vehicle,LinkedIn
LD3099,Ahmedabad,ABC Institute,4th,Data Science,Whatsapp
LD3100,Mumbai,XYZ University,1st,Data Science,College Collaboration
LD3101,Delhi,DEF Academy,1st,AI,Whatsapp
LD3102,Delhi,XYZ University,2nd,Electric Vehicle,Whatsapp
LD3103,Surat,ABC Institute,3rd,Data Science,LinkedIn
LD3104,Delhi,DEF Academy,3rd,Data Science,Instagram
LD3105,Delhi,DEF Academy,2nd,AI,Google Form
LD3106,Mumbai,ABC Institute,4th,Robotics,LinkedIn
LD3107,Ahmedabad,PQR College,1st,Data Science,Instagram
LD3108,Pune,ABC Institute,1st,Electric Vehicle,Instagram
LD3109,Surat,XYZ University,2nd,Data Science,Instagram
LD3110,Ahmedabad,PQR College,1st,Electric Vehicle,Instagram
LD3111,Pune,PQR College,2nd,Electric Vehicle,College Collaboration
LD3112,Mumbai,DEF Academy,2nd,Electric Vehicle,Instagram
LD3113,Pune,XYZ University,1st,AI,College Collaboration
LD3114,Pune,XYZ University,1st,Data Science,College Collaboration
LD3115,Mumbai,XYZ University,2nd,AI,Google Form
LD3116,Mumbai,ABC Institute,3rd,Data Science,Instagram
LD3117,Pune,DEF Academy,1st,Data Science,College Collaboration
LD3118,Pune,XYZ University,4th,AI,College Collaboration
LD3119,Surat,DEF Academy,2nd,Data Science,LinkedIn
LD3120,Ahmedabad,ABC Institute,4th,Electric Vehicle,Whatsapp
LD3121,Delhi,ABC Institute,4th,Robotics,Google Form
LD3122,Pune,PQR College,3rd,Electric Vehicle,Instagram
LD3123,Mumbai,XYZ University,3rd,AI,College Collaboration
LD3124,Mumbai,PQR College,4th,Electric Vehicle,Instagram
LD3125,Surat,ABC Institute,4th,Robotics,Google Form
LD3126,Ahmedabad,ABC Institute,4th,Robotics,LinkedIn
LD3127,Ahmedabad,ABC Institute,1st,Robotics,Google Form
LD3128,Pune,XYZ University,2nd,AI,LinkedIn
LD3129,Mumbai,ABC Institute,1st,AI,LinkedIn
LD3130,Surat,ABC Institute,1st,Robotics,Whatsapp
LD3131,Ahmedabad,ABC Institute,1st,AI,LinkedIn
LD3132,Mumbai,XYZ University,1st,AI,Instagram
LD3133,Mumbai,DEF Academy,2nd,Electric Vehicle,College Collaboration
LD3134,Ahmedabad,ABC Institute,1st,AI,Mass-Mailing
LD3135,Mumbai,ABC Institute,1st,Robotics,Instagram
LD3136,Surat,PQR College,4th,Robotics,College Collaboration
LD3137,Delhi,PQR College,3rd,Electric Vehicle,College Collaboration
LD3138,Mumbai,ABC Institute,1st,Robotics,Instagram
LD3139,Pune,XYZ University,2nd,AI,Mass-Mailing
LD3140,Delhi,PQR College,2nd,Data Science,LinkedIn
LD3141,Surat,PQR College,2nd,AI,Instagram
LD3142,Mumbai,XYZ University,1st,Data Science,College Collaboration
LD3143,Pune,PQR College,4th,AI,Mass-Mailing
LD3144,Delhi,ABC Institute,2nd,Data Science,LinkedIn
LD3145,Ahmedabad,ABC Institute,1st,AI,LinkedIn
LD3146,Delhi,PQR College,4th,Robotics,LinkedIn
LD3147,Pune,DEF Academy,2nd,AI,Whatsapp
LD3148,Pune,XYZ University,1st,Robotics,Whatsapp
LD3149,Surat,PQR College,2nd,AI,College Collaboration
LD3150,Pune,ABC Institute,3rd,Data Science,Whatsapp
LD3151,Ahmedabad,PQR College,3rd,Data Science,Whatsapp
LD3152,Surat,XYZ University,2nd,Robotics,Whatsapp
LD3153,Mumbai,PQR College,3rd,AI,College Collaboration
LD3154,Pune,ABC Institute,1st,AI,College Collaboration
LD3155,Pune,XYZ University,2nd,Data Science,Instagram
LD3156,Delhi,PQR College,1st,Robotics,Google Form
LD3157,Surat,PQR College,2nd,AI,Google Form
LD3158,Surat,DEF Academy,1st,Data Science,Instagram
LD3159,Mumbai,XYZ University,2nd,Data Science,Whatsapp
LD3160,Ahmedabad,DEF Academy,2nd,Electric Vehicle,LinkedIn
LD3161,Ahmedabad,DEF Academy,1st,Robotics,Instagram
LD3162,Delhi,DEF Academy,2nd,Robotics,Google Form
LD3163,Surat,XYZ University,4th,AI,Google Form
LD3164,Pune,DEF Academy,1st,AI,LinkedIn
LD3165,Delhi,PQR College,3rd,Data Science,Mass-Mailing
LD3166,Surat,DEF Academy,2nd,Robotics,Google Form
LD3167,Delhi,PQR College,1st,Electric Vehicle,LinkedIn
LD3168,Delhi,PQR College,3rd,AI,LinkedIn
LD3169,Delhi,DEF Academy,1st,AI,College Collaboration
LD3170,Surat,DEF Academy,3rd,Robotics,College Collaboration
LD3171,Delhi,PQR College,1st,Robotics,Whatsapp
LD3172,Ahmedabad,PQR College,2nd,Data Science,LinkedIn
LD3173,Delhi,ABC Institute,1st,Data Science,College Collaboration
LD3174,Delhi,XYZ University,3rd,Robotics,College Collaboration
LD3175,Ahmedabad,XYZ University,2nd,AI,Whatsapp
LD3176,Surat,ABC Institute,4th,AI,Whatsapp
LD3177,Pune,DEF Academy,1st,AI,Whatsapp
LD3178,Surat,ABC Institute,4th,AI,LinkedIn
LD3179,Pune,PQR College,3rd,Data Science,College Collaboration
LD3180,Pune,XYZ University,2nd,Robotics,Whatsapp
LD3181,Surat,DEF Academy,3rd,Electric Vehicle,Google Form
LD3182,Delhi,PQR College,2nd,Robotics,College Collaboration
LD3183,Pune,XYZ University,1st,AI,Whatsapp
LD3184,Mumbai,PQR College,2nd,AI,Mass-Mailing
LD3185,Surat,PQR College,3rd,Electric Vehicle,LinkedIn
LD3186,Ahmedabad,PQR College,2nd,Data Science,College Collaboration
LD3187,Surat,ABC Institute,3rd,AI,Mass-Mailing
LD3188,Ahmedabad,ABC Institute,3rd,Data Science,Whatsapp
LD3189,Mumbai,XYZ University,1st,AI,Whatsapp
LD3190,Delhi,XYZ University,1st,Robotics,Instagram
LD3191,Surat,ABC Institute,2nd,Data Science,Instagram
LD3192,Ahmedabad,XYZ University,1st,Electric Vehicle,Instagram
LD3193,Ahmedabad,PQR College,4th,Data Science,College Collaboration
LD3194,Ahmedabad,XYZ University,1st,AI,Whatsapp
LD3195,Delhi,XYZ University,4th,AI,Instagram
LD3196,Ahmedabad,PQR College,2nd,AI,Whatsapp
LD3197,Surat,ABC Institute,3rd,AI,Instagram
LD3198,Mumbai,PQR College,1st,AI,Mass-Mailing
LD3199,Delhi,ABC Institute,2nd,Data Science,Google Form
LD3200,Mumbai,XYZ University,3rd,AI,College Collaboration
LD3201,Pune,ABC Institute,4th,AI,College Collaboration
LD3202,Surat,XYZ University,2nd,Electric Vehicle,Google Form
LD3203,Ahmedabad,ABC Institute,4th,Electric Vehicle,Mass-Mailing
LD3204,Delhi,ABC Institute,4th,AI,College Collaboration
LD3205,Ahmedabad,ABC Institute,1st,AI,College Collaboration
LD3206,Delhi,ABC Institute,4th,Data Science,LinkedIn
LD3207,Mumbai,PQR College,2nd,Robotics,Google Form
LD3208,Pune,XYZ University,3rd,AI,Whatsapp
LD3209,Pune,DEF Academy,2nd,Data Science,Google Form
LD3210,Ahmedabad,PQR College,3rd,Data Science,Mass-Mailing
LD3211,Ahmedabad,PQR College,2nd,Data Science,Instagram
LD3212,Delhi,ABC Institute,2nd,AI,Whatsapp
LD3213,Ahmedabad,PQR College,3rd,Electric Vehicle,College Collaboration
LD3214,Surat,ABC Institute,1st,Electric Vehicle,Whatsapp
LD3215,Ahmedabad,XYZ University,3rd,Data Science,Instagram
LD3216,Mumbai,XYZ University,1st,Electric Vehicle,LinkedIn
LD3217,Pune,PQR College,4th,AI,Google Form
LD3218,Ahmedabad,PQR College,4th,Electric Vehicle,Instagram
LD3219,Surat,PQR College,3rd,Robotics,Instagram
LD3220,Delhi,DEF Academy,1st,AI,College Collaboration
LD3221,Delhi,DEF Academy,2nd,Data Science,Google Form
LD3222,Surat,DEF Academy,2nd,Data Science,Mass-Mailing
LD3223,Delhi,XYZ University,3rd,Robotics,Mass-Mailing
LD3224,Surat,ABC Institute,2nd,Robotics,LinkedIn
LD3225,Pune,XYZ University,4th,Electric Vehicle,College Collaboration
LD3226,Ahmedabad,ABC Institute,2nd,Robotics,Google Form
LD3227,Mumbai,PQR College,3rd,Data Science,Mass-Mailing
LD3228,Mumbai,PQR College,3rd,Data Science,Instagram
LD3229,Delhi,ABC Institute,1st,Data Science,LinkedIn
LD3230,Mumbai,PQR College,3rd,AI,College Collaboration
LD3231,Pune,ABC Institute,2nd,Robotics,LinkedIn
LD3232,Pune,ABC Institute,4th,Robotics,Whatsapp
LD3233,Mumbai,ABC Institute,2nd,Electric Vehicle,Mass-Mailing
LD3234,Ahmedabad,DEF Academy,4th,Electric Vehicle,Mass-Mailing
LD3235,Mumbai,ABC Institute,3rd,AI,College Collaboration
LD3236,Ahmedabad,PQR College,3rd,AI,Whatsapp
LD3237,Ahmedabad,XYZ University,1st,Electric Vehicle,Google Form
LD3238,Pune,ABC Institute,4th,Data Science,Instagram
LD3239,Delhi,DEF Academy,3rd,AI,College Collaboration
LD3240,Pune,PQR College,2nd,Data Science,Instagram
LD3241,Delhi,XYZ University,2nd,Electric Vehicle,Whatsapp
LD3242,Ahmedabad,ABC Institute,3rd,Robotics,Mass-Mailing
LD3243,Delhi,ABC Institute,2nd,Robotics,Whatsapp
LD3244,Mumbai,DEF Academy,1st,Data Science,College Collaboration
LD3245,Mumbai,ABC Institute,2nd,AI,Google Form
LD3246,Pune,XYZ University,1st,Electric Vehicle,LinkedIn
LD3247,Ahmedabad,XYZ University,1st,Robotics,College Collaboration
LD3248,Delhi,PQR College,3rd,Data Science,Mass-Mailing
LD3249,Delhi,PQR College,1st,Electric Vehicle,LinkedIn
LD3250,Delhi,XYZ University,2nd,Electric Vehicle,Instagram
LD3251,Surat,PQR College,3rd,Data Science,Instagram
LD3252,Surat,ABC Institute,3rd,AI,College Collaboration
LD3253,Ahmedabad,XYZ University,4th,Electric Vehicle,Whatsapp
LD3254,Surat,PQR College,4th,Robotics,Whatsapp
LD3255,Ahmedabad,PQR College,1st,Data Science,Whatsapp
LD3256,Surat,PQR College,2nd,Data Science,Instagram
LD3257,Surat,PQR College,1st,Electric Vehicle,Instagram
LD3258,Pune,PQR College,3rd,AI,Instagram
LD3259,Delhi,DEF Academy,3rd,Data Science,Google Form
LD3260,Delhi,XYZ University,4th,AI,Mass-Mailing
LD3261,Ahmedabad,PQR College,2nd,Electric Vehicle,LinkedIn
LD3262,Surat,DEF Academy,3rd,AI,Instagram
LD3263,Mumbai,PQR College,1st,Robotics,College Collaboration
LD3264,Delhi,DEF Academy,1st,Electric Vehicle,Mass-Mailing
LD3265,Mumbai,XYZ University,2nd,Electric Vehicle,Google Form
LD3266,Surat,DEF Academy,3rd,Data Science,Google Form
LD3267,Surat,PQR College,3rd,Robotics,Instagram
LD3268,Pune,XYZ University,2nd,AI,College Collaboration
LD3269,Pune,PQR College,4th,Data Science,College Collaboration
LD3270,Ahmedabad,DEF Academy,1st,Electric Vehicle,Mass-Mailing
LD3271,Ahmedabad,DEF Academy,2nd,Robotics,Google Form
LD3272,Mumbai,PQR College,1st,AI,Instagram
LD3273,Surat,DEF Academy,4th,Data Science,College Collaboration
LD3274,Mumbai,ABC Institute,3rd,Data Science,Mass-Mailing
LD3275,Pune,XYZ University,1st,Robotics,Whatsapp
LD3276,Ahmedabad,XYZ University,4th,Robotics,Instagram
LD3277,Delhi,DEF Academy,3rd,AI,College Collaboration
LD3278,Delhi,ABC Institute,1st,Data Science,Google Form
LD3279,Ahmedabad,ABC Institute,3rd,Robotics,LinkedIn
LD3280,Delhi,PQR College,2nd,AI,Whatsapp
LD3281,Surat,ABC Institute,4th,AI,Instagram
LD3282,Pune,XYZ University,4th,Data Science,Mass-Mailing
LD3283,Surat,XYZ University,1st,Data Science,College Collaboration
LD3284,Mumbai,PQR College,3rd,AI,College Collaboration
LD3285,Pune,ABC Institute,2nd,Robotics,Google Form
LD3286,Ahmedabad,PQR College,4th,Robotics,Google Form
LD3287,Ahmedabad,XYZ University,2nd,AI,LinkedIn
LD3288,Pune,ABC Institute,2nd,Data Science,Google Form
LD3289,Ahmedabad,DEF Academy,3rd,Robotics,Instagram
LD3290,Surat,ABC Institute,4th,Robotics,College Collaboration
LD3291,Pune,ABC Institute,1st,AI,Google Form
LD3292,Surat,PQR College,2nd,Data Science,LinkedIn
LD3293,Surat,ABC Institute,4th,Robotics,Instagram
LD3294,Surat,ABC Institute,1st,Robotics,LinkedIn
LD3295,Pune,DEF Academy,4th,AI,Instagram
LD3296,Ahmedabad,PQR College,4th,Robotics,Instagram
LD3297,Pune,DEF Academy,4th,AI,College Collaboration
LD3298,Mumbai,XYZ University,3rd,Robotics,College Collaboration
LD3299,Delhi,ABC Institute,2nd,AI,College Collaboration
LD3300,Mumbai,XYZ University,2nd,Data Science,Instagram
LD3301,Delhi,ABC Institute,2nd,Data Science,College Collaboration
LD3302,Ahmedabad,DEF Academy,3rd,AI,Google Form
LD3303,Ahmedabad,DEF Academy,3rd,Robotics,Google Form
LD3304,Mumbai,XYZ University,4th,AI,Whatsapp
LD3305,Delhi,DEF Academy,3rd,AI,Mass-Mailing
LD3306,Mumbai,PQR College,3rd,Data Science,College Collaboration
LD3307,Surat,XYZ University,3rd,AI,Google Form
LD3308,Pune,ABC Institute,2nd,Data Science,College Collaboration
LD3309,Surat,DEF Academy,3rd,AI,Google Form
LD3310,Ahmedabad,XYZ University,3rd,Electric Vehicle,College Collaboration
LD3311,Ahmedabad,XYZ University,1st,Data Science,LinkedIn
LD3312,Delhi,DEF Academy,4th,Electric Vehicle,Instagram
LD3313,Ahmedabad,ABC Institute,2nd,AI,LinkedIn
LD3314,Surat,ABC Institute,1st,Electric Vehicle,Whatsapp
LD3315,Mumbai,ABC Institute,4th,Data Science,Whatsapp
LD3316,Delhi,ABC Institute,4th,Data Science,Instagram
LD3317,Ahmedabad,ABC Institute,2nd,Robotics,Instagram
LD3318,Ahmedabad,PQR College,2nd,AI,Whatsapp
LD3319,Mumbai,DEF Academy,2nd,Electric Vehicle,Google Form
LD3320,Mumbai,XYZ University,4th,Data Science,College Collaboration
LD3321,Mumbai,XYZ University,4th,Data Science,Whatsapp
LD3322,Delhi,PQR College,4th,Data Science,Instagram
LD3323,Delhi,DEF Academy,4th,Data Science,Instagram
LD3324,Ahmedabad,XYZ University,2nd,Electric Vehicle,Instagram
LD3325,Delhi,PQR College,1st,Robotics,Google Form
LD3326,Surat,ABC Institute,3rd,Robotics,LinkedIn
LD3327,Surat,XYZ University,3rd,Robotics,Whatsapp
LD3328,Delhi,ABC Institute,4th,AI,Google Form
LD3329,Pune,ABC Institute,2nd,AI,Mass-Mailing
LD3330,Delhi,XYZ University,4th,AI,LinkedIn
LD3331,Surat,DEF Academy,4th,Data Science,College Collaboration
LD3332,Pune,XYZ University,3rd,Robotics,College Collaboration
LD3333,Delhi,DEF Academy,3rd,Data Science,Whatsapp
LD3334,Ahmedabad,PQR College,3rd,Electric Vehicle,LinkedIn
LD3335,Mumbai,PQR College,4th,Electric Vehicle,Mass-Mailing
LD3336,Delhi,ABC Institute,3rd,Electric Vehicle,Instagram
LD3337,Surat,ABC Institute,3rd,Robotics,Google Form
LD3338,Mumbai,DEF Academy,4th,Electric Vehicle,Mass-Mailing
LD3339,Delhi,PQR College,1st,Data Science,Whatsapp
LD3340,Pune,PQR College,4th,Robotics,Google Form
LD3341,Surat,XYZ University,1st,Robotics,College Collaboration
LD3342,Pune,ABC Institute,3rd,Robotics,College Collaboration
LD3343,Delhi,DEF Academy,4th,AI,Whatsapp
LD3344,Delhi,ABC Institute,2nd,Data Science,College Collaboration
LD3345,Ahmedabad,XYZ University,2nd,Robotics,Whatsapp
LD3346,Ahmedabad,ABC Institute,1st,Data Science,Mass-Mailing
LD3347,Delhi,ABC Institute,1st,Electric Vehicle,Whatsapp
LD3348,Delhi,XYZ University,4th,Data Science,Whatsapp
LD3349,Mumbai,DEF Academy,3rd,AI,Whatsapp
LD3350,Ahmedabad,PQR College,4th,AI,LinkedIn
LD3351,Mumbai,XYZ University,2nd,AI,Whatsapp
LD3352,Mumbai,DEF Academy,2nd,Robotics,College Collaboration
LD3353,Delhi,PQR College,1st,Robotics,Whatsapp
LD3354,Pune,XYZ University,3rd,Electric Vehicle,Google Form
LD3355,Delhi,PQR College,1st,Electric Vehicle,Whatsapp
LD3356,Pune,ABC Institute,4th,Robotics,Google Form
LD3357,Surat,PQR College,4th,Robotics,LinkedIn
LD3358,Delhi,PQR College,3rd,Robotics,College Collaboration
LD3359,Ahmedabad,ABC Institute,3rd,Data Science,Google Form
LD3360,Ahmedabad,XYZ University,1st,Robotics,Whatsapp
LD3361,Surat,ABC Institute,4th,Data Science,College Collaboration
LD3362,Mumbai,ABC Institute,1st,AI,LinkedIn
LD3363,Surat,PQR College,4th,Data Science,LinkedIn
LD3364,Ahmedabad,PQR College,4th,Robotics,Instagram
LD3365,Ahmedabad,DEF Academy,2nd,Data Science,Google Form
LD3366,Surat,XYZ University,3rd,AI,LinkedIn
LD3367,Pune,DEF Academy,2nd,Data Science,Mass-Mailing
LD3368,Mumbai,DEF Academy,3rd,Electric Vehicle,Google Form
LD3369,Surat,DEF Academy,2nd,Electric Vehicle,Whatsapp
LD3370,Ahmedabad,XYZ University,2nd,Robotics,Mass-Mailing
LD3371,Ahmedabad,ABC Institute,2nd,Data Science,Google Form
LD3372,Pune,ABC Institute,2nd,Electric Vehicle,Mass-Mailing
LD3373,Ahmedabad,ABC Institute,4th,AI,Whatsapp
LD3374,Mumbai,ABC Institute,2nd,Electric Vehicle,LinkedIn
LD3375,Ahmedabad,XYZ University,2nd,AI,College Collaboration
LD3376,Mumbai,ABC Institute,4th,Data Science,College Collaboration
LD3377,Mumbai,DEF Academy,3rd,Robotics,LinkedIn
LD3378,Mumbai,ABC Institute,1st,Robotics,College Collaboration
LD3379,Delhi,PQR College,4th,Electric Vehicle,Whatsapp
LD3380,Mumbai,XYZ University,1st,Data Science,College Collaboration
LD3381,Delhi,XYZ University,4th,AI,Whatsapp
LD3382,Pune,DEF Academy,4th,Data Science,Mass-Mailing
LD3383,Mumbai,DEF Academy,1st,Electric Vehicle,Instagram
LD3384,Pune,XYZ University,4th,Data Science,Google Form
LD3385,Ahmedabad,ABC Institute,2nd,Data Science,Google Form
LD3386,Pune,PQR College,1st,Data Science,LinkedIn
LD3387,Ahmedabad,DEF Academy,3rd,Electric Vehicle,Whatsapp
LD3388,Ahmedabad,XYZ University,2nd,Data Science,Mass-Mailing
LD3389,Ahmedabad,DEF Academy,2nd,Data Science,LinkedIn
LD3390,Delhi,XYZ University,2nd,Data Science,Whatsapp
LD3391,Delhi,ABC Institute,1st,AI,Instagram
LD3392,Surat,DEF Academy,3rd,Data Science,Whatsapp
LD3393,Ahmedabad,DEF Academy,2nd,Electric Vehicle,Whatsapp
LD3394,Ahmedabad,XYZ University,2nd,Data Science,Whatsapp
LD3395,Ahmedabad,XYZ University,3rd,Electric Vehicle,College Collaboration
LD3396,Surat,PQR College,1st,AI,Whatsapp
LD3397,Delhi,XYZ University,3rd,Electric Vehicle,Instagram
LD3398,Pune,ABC Institute,4th,Data Science,College Collaboration
LD3399,Ahmedabad,ABC Institute,1st,Robotics,Google Form
LD3400,Surat,PQR College,4th,Robotics,Whatsapp
LD3401,Surat,PQR College,3rd,Data Science,Google Form
LD3402,Ahmedabad,DEF Academy,3rd,Electric Vehicle,Instagram
LD3403,Ahmedabad,XYZ University,2nd,Data Science,Mass-Mailing
LD3404,Delhi,ABC Institute,2nd,AI,Mass-Mailing
LD3405,Surat,ABC Institute,4th,Electric Vehicle,Google Form
LD3406,Pune,ABC Institute,4th,AI,Mass-Mailing
LD3407,Mumbai,PQR College,2nd,AI,LinkedIn
LD3408,Ahmedabad,ABC Institute,4th,Robotics,LinkedIn
LD3409,Surat,ABC Institute,2nd,Robotics,College Collaboration
LD3410,Pune,XYZ University,3rd,Electric Vehicle,Whatsapp
LD3411,Surat,XYZ University,1st,Robotics,Whatsapp
LD3412,Pune,PQR College,4th,Robotics,Mass-Mailing
LD3413,Delhi,DEF Academy,2nd,Data Science,Mass-Mailing
LD3414,Surat,DEF Academy,1st,Electric Vehicle,College Collaboration
LD3415,Mumbai,ABC Institute,4th,Electric Vehicle,Whatsapp
LD3416,Ahmedabad,ABC Institute,3rd,AI,Google Form
LD3417,Mumbai,XYZ University,4th,AI,Instagram
LD3418,Ahmedabad,DEF Academy,3rd,Robotics,Instagram
LD3419,Surat,XYZ University,3rd,AI,College Collaboration
LD3420,Mumbai,PQR College,2nd,AI,Google Form
LD3421,Ahmedabad,PQR College,4th,Robotics,Instagram
LD3422,Mumbai,XYZ University,4th,Robotics,College Collaboration
LD3423,Mumbai,DEF Academy,2nd,Data Science,Instagram
LD3424,Pune,PQR College,4th,Electric Vehicle,College Collaboration
LD3425,Pune,DEF Academy,1st,AI,Google Form
LD3426,Surat,PQR College,1st,Data Science,Instagram
LD3427,Delhi,ABC Institute,2nd,AI,Mass-Mailing
LD3428,Delhi,PQR College,1st,Electric Vehicle,Mass-Mailing
LD3429,Mumbai,XYZ University,2nd,AI,Whatsapp
LD3430,Surat,XYZ University,2nd,Data Science,Instagram
LD3431,Surat,ABC Institute,2nd,Electric Vehicle,LinkedIn
LD3432,Ahmedabad,PQR College,2nd,Electric Vehicle,College Collaboration
LD3433,Pune,PQR College,1st,AI,LinkedIn
LD3434,Delhi,ABC Institute,4th,Data Science,Google Form
LD3435,Pune,PQR College,4th,Data Science,Instagram
LD3436,Mumbai,PQR College,3rd,Electric Vehicle,College Collaboration
LD3437,Delhi,PQR College,3rd,Robotics,College Collaboration
LD3438,Pune,PQR College,2nd,Robotics,Google Form
LD3439,Mumbai,PQR College,2nd,Robotics,Instagram
LD3440,Pune,XYZ University,3rd,Robotics,Instagram
LD3441,Mumbai,XYZ University,1st,Data Science,Google Form
LD3442,Surat,ABC Institute,4th,Robotics,LinkedIn
LD3443,Delhi,DEF Academy,2nd,Electric Vehicle,Whatsapp
LD3444,Pune,XYZ University,1st,AI,Whatsapp
LD3445,Mumbai,XYZ University,4th,Data Science,LinkedIn
LD3446,Delhi,PQR College,4th,Data Science,College Collaboration
LD3447,Ahmedabad,PQR College,2nd,AI,College Collaboration
LD3448,Pune,ABC Institute,3rd,Robotics,Whatsapp
LD3449,Surat,XYZ University,3rd,Electric Vehicle,LinkedIn
LD3450,Ahmedabad,DEF Academy,4th,Electric Vehicle,LinkedIn
LD3451,Ahmedabad,ABC Institute,3rd,Data Science,Google Form
LD3452,Surat,XYZ University,1st,AI,Instagram
LD3453,Delhi,ABC Institute,2nd,Electric Vehicle,Instagram
LD3454,Ahmedabad,XYZ University,3rd,Data Science,Mass-Mailing
LD3455,Delhi,XYZ University,3rd,Data Science,Google Form
LD3456,Mumbai,ABC Institute,1st,AI,Mass-Mailing
LD3457,Ahmedabad,XYZ University,4th,Robotics,College Collaboration
LD3458,Delhi,ABC Institute,1st,Data Science,Whatsapp
LD3459,Surat,DEF Academy,4th,AI,LinkedIn
LD3460,Surat,DEF Academy,4th,Data Science,Mass-Mailing
LD3461,Surat,DEF Academy,3rd,Data Science,Whatsapp
LD3462,Delhi,PQR College,1st,Data Science,College Collaboration
LD3463,Pune,XYZ University,3rd,Data Science,Instagram
LD3464,Delhi,DEF Academy,4th,Robotics,Instagram
LD3465,Surat,XYZ University,4th,Robotics,Google Form
LD3466,Delhi,PQR College,3rd,Electric Vehicle,College Collaboration
LD3467,Surat,XYZ University,3rd,Data Science,Whatsapp
LD3468,Delhi,PQR College,2nd,Electric Vehicle,LinkedIn
LD3469,Mumbai,ABC Institute,3rd,AI,Whatsapp
LD3470,Surat,DEF Academy,1st,Robotics,Instagram
LD3471,Ahmedabad,ABC Institute,2nd,Data Science,Instagram
LD3472,Pune,PQR College,1st,Data Science,Mass-Mailing
LD3473,Delhi,DEF Academy,1st,AI,Mass-Mailing
LD3474,Ahmedabad,DEF Academy,3rd,AI,Mass-Mailing
LD3475,Mumbai,PQR College,3rd,Robotics,Whatsapp
LD3476,Surat,ABC Institute,3rd,Electric Vehicle,Mass-Mailing
LD3477,Surat,XYZ University,1st,AI,Google Form
LD3478,Ahmedabad,PQR College,3rd,Electric Vehicle,Whatsapp
LD3479,Mumbai,XYZ University,3rd,Electric Vehicle,Google Form
LD3480,Ahmedabad,PQR College,4th,AI,LinkedIn
LD3481,Surat,XYZ University,1st,Electric Vehicle,Whatsapp
LD3482,Surat,ABC Institute,1st,Electric Vehicle,Mass-Mailing
LD3483,Ahmedabad,XYZ University,3rd,Data Science,College Collaboration
LD3484,Ahmedabad,XYZ University,1st,AI,Google Form
LD3485,Delhi,DEF Academy,2nd,Data Science,Whatsapp
LD3486,Mumbai,DEF Academy,2nd,Robotics,Google Form
LD3487,Pune,PQR College,4th,AI,Whatsapp
LD3488,Ahmedabad,PQR College,3rd,Data Science,LinkedIn
LD3489,Mumbai,DEF Academy,1st,Electric Vehicle,Mass-Mailing
LD3490,Delhi,ABC Institute,4th,Robotics,LinkedIn
LD3491,Pune,PQR College,4th,AI,LinkedIn
LD3492,Pune,ABC Institute,2nd,Data Science,Instagram
LD3493,Surat,XYZ University,2nd,Data Science,Google Form
LD3494,Delhi,DEF Academy,2nd,Electric Vehicle,Google Form
LD3495,Ahmedabad,DEF Academy,3rd,Electric Vehicle,Instagram
LD3496,Delhi,ABC Institute,1st,Data Science,Whatsapp
LD3497,Ahmedabad,ABC Institute,4th,Robotics,Google Form
LD3498,Mumbai,DEF Academy,4th,Robotics,LinkedIn
LD3499,Ahmedabad,PQR College,2nd,Data Science,Whatsapp
LD3500,Mumbai,DEF Academy,1st,AI,Google Form
LD3501,Delhi,DEF Academy,1st,Robotics,Google Form
LD3502,Ahmedabad,ABC Institute,1st,Robotics,LinkedIn
LD3503,Surat,ABC Institute,4th,Data Science,Mass-Mailing
LD3504,Ahmedabad,PQR College,1st,Robotics,Whatsapp
LD3505,Pune,DEF Academy,2nd,Data Science,Mass-Mailing
LD3506,Surat,PQR College,3rd,AI,College Collaboration
LD3507,Surat,XYZ University,4th,Robotics,Mass-Mailing
